description_id,description
779,"Parents: Does your teen withdraw to his or her room at every opportunity? Does she talk with you about her friends? Does he participate in discussions at meals? Does your teen want you to see projects from school? When is the last time you actually went into your teen's room and looked at what's hanging on the walls and sitting on the shelves?  Teens: Do your parents hide behind the newspaper? Do they always have to work when you've got a game, a recital, or an open house at school? Is there anything you do together anymore? When was the last time they took a walk, a bike ride, or even a trip to get ice cream with you?  When did that sudden gap divide your home into territories staked and claimed, with music blasting through the halls and fists banging on doors to turn down the stereo/TV/video game? Teens, when did you start seeing your parents as your enemies instead of your heroes? And parents, when did you start seeing your teens as crazy little demons instead of your loving children?  Finally, there is a solution for both sides, and one that will not only bridge that gap but show parents and teens alike how to prevent it. Jay McGraw is the ideal person to write a book for both parents and teens. A bestselling author by the age of twenty-one and son of number one New York Times bestseller Phillip C. McGraw, Ph.D., known to millions worldwide as Dr. Phil, Jay has seen the parent-teen battle from all angles. In this groundbreaking work, he introduces a new plan for both teens and their parents to work through the issues that divide them and, in the process, rediscover the love that initially defined their relationship.  Jay works from both sides -- sharing the perspectives of parent and teen as the former struggles for control, the latter for independence. He explains to parents how their teenagers wish to be treated, cared for, and even disciplined, and he shows teens how gaining power can come only from earning respect. In this entertaining, informative, and life-changing book, Jay gives instructions to both sides of the familial gap on:  Dos and Don'ts for Parents and Teens Parent and Teen Myths Discovering Your Needs Tuning In to the Needs of Others Ten Ways to Bridge the Gap and Reconnect   In finding a common ground and, even more important, a common respect for each other, parents and teens can break down the walls, unlock the doors, and welcome each other back into one another's lives again."
780,"In Oracle8i For Dummies, Second Edition, author Carol McCullough takes the complexity out of the features available in Oracle8i Release 2 and Enterprise Manager version 2.1.4 and makes them easy to understand. She'll uncover all you need to know about features like built-in support for XML and Enterprise Java Beans, new security options for Internet applications, and new performance and tuning tools included with Enterprise Manager. With her easy-to-follow examples, you'll quickly become familiar with the database and tools and be ready to put them to work."
781,"Michael Kammen here addresses three closely related themes concerning the state of historical inquiry in America--how history as a professional discipline has changed over the past century; the significance of historiography as a measure of cultural change; and the necessity for new approaches to American cultural history, and to state and local history as well."
782,"A celebration of beer and the countries that produce it takes readers and beer lovers on a country-by-country tour, one continent at a time, and features more than three hundred full-color photographs."
783,"A collection of war diaries by American soldiers spans two centuries and more than a dozen conflicts to probe the inner feelings of soldiers faced with injury and possible loss of life. 15,000 first printing. National ad/promo."
784,Describes the origins and history of words adopted from Latin and discusses ancient and modern usage
785,"Lists a wide range of facts, statistics, and records concerning the hitting, pitching, and baserunning achievements of professional baseball players"
786,"""Carl Anthony takes you inside the world's most famous goldfish bowl for a glimpse at life in the White House as you've never seen it before.""  -- Julie N. Eisenhower  The Kennedy White House is the first truly intimate look at Kennedy family life inside the White House. It is an unprecedented visit behind the scenes, revealing the world's most famous family in the world's most famous house. Author Carl Sferrazza Anthony scoured the Kennedy Library archives for never-before-seen color and black-and-white photographs that succeed in illustrating the Kennedy family story -- the joys and tragedies, celebrations and anniversaries, informal family gatherings and escapes to their private homes in Virginia, Palm Beach, Newport, and Hyannis Port. The book also explores for the first time the relationships between Jack and Jackie's nuclear family and both of their extended families.  The 337 full-color and black-and-white photos, taken by the primary White House photographers, are unstaged and provide a far more natural, spontaneous, and realistic portrait of the family than ever before; most of them, including color photographs of each of the private rooms, have never been seen, and they present an unparalleled look at life as it was lived behind the White House doors.  This is also the first book to place the Kennedy family within the context of the culture of the early 1960s and tell the story of the president's personal maturity through his evolving family relationships. Historical events like the Cuban Missile Crisis are uniquely viewed from the family's perspective. An appealing combination of history, biography, and popular culture, The Kennedy White House sheds new light on a family that continues to fascinate the American public forty years after they first captivated our attention."
787,"The popular science fiction writer and author of ""Stranger in a Strange Land"" discusses censorship, the evolution of his style, his virulent atheism, his world travels, bouts with serious illnesses and other topics"
788,"Newbery Medal winner Beverly Cleary continues to amuse readers with her wonderful, blunderful Ramona Quimby!Life can move pretty fast—especially when you're in the third grade, your teenage sister's moods drive you crazy, and your mom has a suspicious secret she just won't share. Plus, Mr. Quimby's new job offer could have the entire family relocating. It's a lot to handle for Ramona. But whatever trial comes her way, Ramona can count on one thing for sure—she'll always be Ramona…forever!"
789,"Sharman Apt Russell again blends her lush voice and keen scientific eye in this marvelous book about butterflies. From Hindu mythology to Aztec sacrifices, butterflies have served as a metaphor for resurrection and transformation. Even during World War II, children in a Polish death camp scratched hundreds of butterflies onto the walls of their barracks. But as Russell points out in this rich and lyrical meditation, butterflies are above all objects of obsession. From the beastly horned caterpillar, whose blood helps it count time, to the peacock butterfly, with wings that hiss like a snake, Russell traces the butterflies through their life cycles, exploring the creatures' own obsessions with eating, mating, and migrating. In this way, she reveals the logic behind our endless fascination with butterflies as well as the driving passion of such legendary collectors as the tragic Eleanor Glanville, whose children declared her mad because of her compulsive butterfly collecting, and the brilliant Henry Walter Bates, whose collections from the Amazon in 1858 helped develop his theory of mimicry in nature. Russell also takes us inside some of the world's most prestigious natural history museums, where scientists painstakingly catalogue and categorize new species of Lepidoptera, hoping to shed light on insect genetics and evolution. A luminous journey through an exotic world of obsession and strange beauty, this is a book to be treasured by anyone who's ever watched a butterfly mid-flight and thought, as Russell has, ""I've entered another dimension."""
790,"Set in Rio de Janeiro in 1886, this internationally acclaimed literary thriller begins with the theft of a Stradivarius violin that has been presented by His Majesty the Emperor of Brazil to one of his more delectable mistresses--a harmless crime in itself but one that mystifies the authorities and (far more important) embarrasses the Emperor.  At the suggestion of Sarah Bernhardt, who is on a triumphant tour through South America, the great Sherlock Holmes is summoned from London to solve the case. But by the time he arrives, events have taken a turn for the worse, as a series of grisly murders shocks the city--the victims all beautiful young women. In each case, the killer leaves his calling card: a violin string entangled in the woman's pubic hair, the corpse stripped of a flap of skin.Holmes (and Dr. Watson, of course) are immediately off on the track of the killer, but although Sherlock succeeds in coining the term ""serial killer,""  his celebrated powers of deduction don't get him very far with the case itself: overcome by the charm of the tropics, some spectacular digestive difficulties, and the strong appeal of a pretty young actress--at thirty-two, he's not exactly a sexual virtuoso--Sherlock finds himself in a thicker fog than he ever encountered back home in London. And in dark counterpoint to Holmes's questionable ratiocinations and the novel's brilliantly re-created texture of nineteenth-century literary, social, and low-life Rio, is the chilling yet hypnotic voice of the killer himself, a monster of intelligence, evil, and ever-spreading fame. . . .A Samba for Sherlock is the work of a mind of encyclopedic knowledge, caustic wit, brilliant style, and, above all, a formidable ability to entertain."
791,"If anything, in this presidential election special, he's madder than ever!In his earlier bestseller, There's Nothing in the Middle of the Road but Yellow Stripes and Dead Armadillos, Hightower only began to tap into the deep yearning that Americans have for a new politics that speaks to them from a real-world, kitchen-table perspective. Now, with the year 2000 being an especially significant marker for contemplating our country's direction, not only for the new year but for the new century and the new millennium, it's time for citizens to reclaim their political, economic, and cultural heritage.Leading the way with his hilariously irreverent yet profoundly serious book is our name-naming, podium-pounding, point-them-in-the-right-direction populist, Hightower himself. He whacks conventional wisdom right upside the head,showing,with startling facts and compelling personal stories, that despite a so-called period of prosperity, America's middle class is getting mugged, and that far from being ordained by the gods,globalization is globaloney! Hightower rips the mass off of the candidates, the parties, the consultants, and especially the moneyed powers whoa re supporting all of the leading presidential hopefuls. he's mad about them all--but what he's maddest about, what really gets his goat,is that they are all the same! To paraphrase Jim, American politicians are alike because they don't come cheap. In fact, they're all very expansive. which is why only the rich can own them and why their allegiance is definitely not to regular,worka-day citizens.No one is spared in this insightful and engaging blend of horror and success stories, hard-hitting commentary, laugh-out-loud humor, useful facts, and sparkling language. An equal opportunity muckraker and conscientious agitator for ""We the people,"" Hightower inspires us to take charge again, to build a new politics, and, together, to build a better tomorrow. Jim Hightower's If the Gods Had Meant Us to Vote They Would Have Given Us Candidates proves yet again that his is a uniquely wise and peerlessly singular voice in the maelstrom of political prattle."
792,"Describes, illustrates, and analyzes the forces of nature responsible for earthquakes, volcanos, hurricanes, floods, glaciers, deserts, and drought; recounts how humans have perceived their relationship with them over history; and explains how Earth's evolution has created present conditions. Original."
793,"Saveur Cooks Authentic French is the triumphant follow-up to the highly acclaimed Saveur Cooks Authentic American. After years of so-called fusion food, tastes have come back to the pure and classicand nothing exemplifies this trend better than the renewed interest in traditional French cuisine. From their very first issue, the editors at Saveur magazine have shared their passion for French food and wine, describing the vivid immediacy of real French cooking in loving detail. Now they take readers off the beaten track and into the kitchens of France to taste the true Mediterranean flavors of Provence, sample the unique farmhouse cooking of Brittany, savor the sumptuous cuisines of Alsace and Burgundy, and discover many more inspiring regional cuisines. Whether interviewing a cheesemaker or accompanying a truffle hunter on his secret rounds, Saveur's editors capture the authentic essence of French food and culture. Featuring award-winning food writing and stunning color photography, Saveur Cooks Authentic French is an unforgettable tour through the abundant culinary glories of France."
794,"Within a society that long considered ""lesbian motherhood"" a contradiction in terms, what were the experiences of lesbian mothers at the end of the twentieth century? In this illuminating book, lesbian mothers tell their stories of how they became mothers; how they see their relationships with their children, relatives, lovers, and friends and with their children’s fathers and sperm donors; how they manage child-care arrangements and financial difficulties; and how they deal with threats to custody. Ellen Lewin’s unprecedented research on lesbian mothers in the San Francisco area captured a vivid portrait of the moment before gay and lesbian parenting moved into the mainstream of U.S. culture. Drawing on interviews with 135 women, Lewin provided her readers with a new understanding of the attitudes of individual women, the choices they made, and the texture of their daily lives."
795,"Samuel has just landed in modern day LA. The last time he has been free of Nefandus was when he was abducted from his home two hundred years ago. He is totally lost until Ashley shows up. She used to be a servi, like him, but now she helps others who have escaped their bondage. He and Ashley travel back in time to see his great grandfather, a wise shaman. After Samuel returns to the present, he realizes his grandfather has given him a very special gift-one that is difficult to control. He also begins to wonder if Ashley is really who she says she is . . . Soon his loyalty to the other Sons of the Dark is sorely tested."
796,"This book promises to be the definitive handbook for the behavioral medicine practitioner of the '90s. It is the first book not only to explain the use of imagery as the foundation for designing a behavioral medicine program but also to teach professionals how to design and use imagery to assist their patients with specific illnesses.For those with life-challenging conditions, Getting Well in Orlando, Florida, offers a complete program in bodymind healing, embracing the emotional, the psychological, and the spiritual. Imagery for Getting Well is based on the author's experiences in founding the program and on the experiences of Getting Well's many participants, who have learned to perceive and image their worlds in new ways, totally changing their lives as a result.In addition to sharing the background and philosophy of the program, Brigham explores in depth the synergistic components of the 28-day program: stress management, imagery training, expressive therapies, group and individual therapy, play and laughter, nutrition and exercise, high-level awareness, and much more. Throughout the book, case examples show the healing power of imagery.Clinicians will especially appreciate the detailed scripts and ""seeds for imagery"" for use with a wide range of conditions affecting the immune, endocrine, gastrointestinal, cardiovascular, pulmonary, and neurological systems. Individuals with life-challenging conditions will find here a rich resource for enhancing their healing. As a whole, the book is a blueprint for implementing a behavioral medicine program based on the latest findings in psychoneuroimmunology.A treasure trove of clinical strategies, this book goes beyond the practical to inspire all those in the field of behavioral medicine to embrace the possibilities of imagery for getting well in the most profound sense."
797,"For Russians, St. Petersburg has embodied power, heroism, and fortitude. It has encompassed all the things that the Russians are and that they hope to become. Opulence and artistic brilliance blended with images of suffering on a monumental scale make up the historic persona of the late W. Bruce Lincoln's lavish ""biography"" of this mysterious, complex city. Climate and comfort were not what Tsar Peter the Great had in mind when, in the spring of 1703, he decided to build a new capital in the muddy marshes of the Neva River delta. Located 500 miles below the Arctic Circle, this area, with its foul weather, bad water, and sodden soil, was so unattractive that only a handful of Finnish fisherman had ever settled there. Bathed in sunlight at midnight in the summer, it brooded in darkness at noon in the winter, and its canals froze solid at least five months out of every year. Yet to the Tsar, the place he named Sankt Pieter Burkh had the makings of a ""paradise."" His vision was soon borne out: though St. Petersburg was closer to London, Paris, and Vienna than to Russia's far-off eastern lands, it quickly became the political, cultural, and economic center of an empire that stretched across more than a dozen time zones and over three continents. In this book, revolutionaries and laborers brush shoulders with tsars, and builders, soldiers, and statesmen share pride of place with poets. For only the entire historical experience of this magnificent and mysterious city can reveal the wealth of human and natural forces that shaped the modern history of it and the nation it represents."
798,"The New York Times bestselling memoir about growing up in small-town Indiana, from the author of The Solace of Leaving Early. When Haven Kimmel was born in 1965, Mooreland, Indiana, was a sleepy little hamlet   of three hundred people.  Nicknamed ""Zippy"" for the way she would bolt around the   house, this small girl was possessed of big eyes and even bigger ears.  In this witty   and lovingly told memoir, Kimmel takes readers back to a time when small-town America   was caught in the amber of the innocent postwar period&apos;people helped their neighbors,   went to church on Sunday, and kept barnyard animals in their backyards.  Laced with   fine storytelling, sharp wit, dead-on observations, and moments of sheer joy, Haven   Kimmel's straight-shooting portrait of her childhood gives us a heroine who is wonderfully   sweet and sly as she navigates the quirky adult world that surrounds Zippy."
799,"The NFL'S most valuable player of 1986 offers a descriptive account of his life on and off the field, including a candid discussion of his battle with drugs in 1985 and his subsequent victory over them"
800,"INTEGRITY...it is a potent entity and it has the power to control, change and alter circumstances along life's perilous path. It is an awesome tool responsibility...it is an easy thing to lose when taken for granted.   At the core of each individual is a code of values or ethics by which all things are measured, and that is the sum of INTEGRITY.   An important and inspiring message on integrity can be found within these pages. This book will serve as an inspiration for all and give insight to those who have wondered. It is a sobering thought when we begin to consider the state of our own integrity.   How do you survive and rise above it all? How do you put the pieces of your life back together again? How do you restore your integrity? And where do you go from here? These questions, and many others, are answered in this book."
801,Analyzes the causes and effects of short-term thinking in American business and suggests ways corporate America can regain its competitive edge in the world economy
802,"The Brand Name Fat-Fighter's Cookbook was designed to help you use the very best of the brand name products to create great-tasting low-fat dishes. Best-selling author and nutritionist Sandra Woodruff has put together both a cookbook with over 150 imaginative and exciting recipes, and a practical guide for anyone looking to get the fat out of their diet.In addition, throughout the book, the author provides concise Fat-Fighter's Guides designed to make you a smarter shopper. For every area of the grocery store, from the dairy case, to the frozen foods section, to the snack aisle, these guides highlight the best foods by brand name, and give clear-cut suggestions for using these products to make terrific low-fat, high-nutrient dishes. Dozens of fat-fighting tips ensure that you enjoy great results each and every time you cook."
803,"Provides answers to more than one thousand vital questions about human health and medical issues, providing a host of facts and tips about nutrition, sex, the environment, chronic illness, mental health, and other important topics. 20,000 first printing."
804,"The Unitarian minister reflects on America and its diverse peoples, everyday wisdoms, kindnesses, and joys, and everyday life's large meanings"
805,Outlines the skills and techniques of providing superior customer service
806,"In A People Adrift, a prominent Catholic thinker states bluntly that the Catholic Church in the United States must transform itself or suffer irreversible decline. Peter Steinfels shows how even before the recent revelations about sexual abuse by priests, the explosive combination of generational change and the thinning ranks of priests and nuns was creating a grave crisis of leadership and identity.    This groundbreaking book offers an analysis not just of the church's immediate troubles but of less visible, more powerful forces working below the surface of an institution that provides a spiritual identity for 65 million Americans and spans the nation with its parishes, schools, colleges and universities, hospitals, clinics, and social service agencies.  In A People Adrift, Steinfels warns that entrenched liberals and conservatives are trapped in a ""theo-logical gridlock"" that often ignores what in fact goes on in families, parishes, classrooms, voting booths, and Catholic organizations of all types. Above all, he insists, the altered Catholic landscape demands a new agenda for leadership, from the selection of bishops and the rethinking of the priesthood to the thorough preparation and genuine incorporation of a lay leadership that is already taking over key responsibilities in Catholic institutions.     Catholicism exerts an enormous cultural and political presence in American life. No one interested in the nation's moral, intellectual, and political future can be indifferent to the fate of what has been one of the world's most vigorous churches -- a church now severely challenged."
807,"A compilation of more than 140 previously unpublished letters includes samples of Thurber's correspondence with famous figures of his day--such as E. B. White, Harold Ross, and John O'Hara--as well as to personal friends and acquaintances"
808,More than one hundred delicious and unusual vegetarian recipes set out twenty menus for everyday eating and for special occasions and include such dishes as Walnut and Ricotta Pa+a3te+a7 and Poached Eggs on Potato Cakes with Hollandaise Sauce.
809,"A hypnotic, lyrical debut novel about a young black girl in the deep south who comes to confront the realities of sex, race, disease, and death, by a writer of extraordinary emotional depth.?A profoundly raw and gripping read,” (The Baltimore Sun) Olympia Vernon’s fearless and wildly original debut novel explodes on the first page and sustains a tightrope intensity until the last. Set in Pyke County, Mississippi, Eden is a raw, heartbreaking, and enlightening novel that marks the emergence of a stunning and original talent. Narrated by fourteen-year-old Maddy Dangerfield, Eden opens in the moments after Maddy has impulsively drawn a naked woman on the pages of Genesis in bright red lipstick during Sunday service. The community is scandalized, and her devout, long-suffering mother’s response to her transgression is to force her to spend weekends nursing her dying Aunt Pip, an outcast who lives on the edge of town.From then on, Maddy must negotiate her two worlds: at the house where she lives with her hard-working, Bible-reading mother, Faye, and her father, Chevrolet?a one-armed drunk, gambler and womanizer?she is both a reluctant participant in and astute observer of the strange and confounding dynamics of her sometimes violent, sometimes tender family. (Years before, Maddy’s grandmother?her mother’s mother?chopped of Chevrolet’s arm and fed it to the pigs after he and Pip were found together in the back room as Faye entertained friends from the church?and ever since, he has been am emasculated, desperate man?drinking and gambling his wife’s money away, leaving her to clean up his mess time and again.) And then out on Commitment Road, she is caretaker to her Aunt Pip, whose only friend is her eccentric neighbor, Fat. Maddy’s time with Pip and Fat opens her eyes to the exhilaration of speaking your own mind, living your life on your own terms and without apology, and also to the cost extracted by both. She learns that there are strengths that belong to women alone, and also that there is a kind of ravaging vulnerability that is terrifying and inescapable, and uniquely female.The world Maddy inherits is one of injustice and hypocrisy, one that requires black people work for the whites for little to no pay; that sent her Uncle Sugar to jail for raping a white woman?no questions asked?when Maddy was just a baby; that preaches Christian love and forgiveness even as its actions reflect the very opposite. But Maddy soon learns that there is something that can work to oppose those truths, and that is knowledge; having the will and the ability to look beneath the surface, to question what others take as a given. By the end of the novel, newly acquainted with mortality and her own fierce strength, Maddy comes to bear both the burden and the blessing of that knowledge.In lush, vivid brushstrokes, Olympia Vernon conjures a world that is both intoxicating and cruel, and illuminates the bittersweet transformation of the young girl who must bear the burden and blessing of its secrets too soon. Eden is a haunting, memorable novel propelled by the poetry and power of a voice that is complex, lyrical, and utterly true."
810,"This brilliantly written, deeply moving play about the problems of a young couple with a spastic daughter-the ""Joe Egg"" of the title-was described by Ronald Bryden in The Observer (London) as a ""remarkable play about a nightmare all women must have dreamed at some time, and most men: living with a child born so hopelessly crippled as to be, as the father in it says brutally, a human parsnip. For all that, it has to be described as a comedy, one of the funniest and most touching I've seen. The bridge between its form and content is a simple but brilliant stroke of theatre. Over the years, the author implies, explaining to others how one lives with such a situation becomes a kind of set party piece. This, savagely exaggerated, is what he has written-a recital, interspersed with jazz, imitations and tap-dances, about life with Joe Egg."""
811,"The Gilded Dome is Greg Kubiak's unique, inside view of a failed attempt to enact campaign finance reform in the U.S. Congress. This saga of Sen. David L. Boren's seven-year struggle to overcome Congressional self-interest and reach a bipartisan consensus demonstrates the power of moneyed interests that gridlocks government and stifles political competition.These efforts at campaign finance reform took shape in 1985, but not until 1987 - when Democrats regained control of the Senate - was Senator Boren's legislation taken seriously. In 1988, following a dramatic fifty-seven-hour session, a record-breaking cloture vote failed, and the money chase continued. Next the Senate and the House pushed to pass separate bills, but that effort failed as the Congress rushed to adjourn. Soon after the 1990 elections, the White House promised to kill the campaign finance reform bill. And just eleven days before a 1992 fundraising dinner at which donors paid $92,000 to be photographed with the president, the legislation was vetoed.In vivid detail The Gilded Dome describes negotiations to produce the most wide-ranging reform of campaign law since Watergate. In addition to describing efforts within Congress, the author explains how others - the media, lobbyists, and party officials - play the game and affect the legislative process. Kubiak concludes that the power of money in politics and the power of people in government must be balanced. Only then will the gilded dome, which conceals the power of money and special interests, reflect the beauty of our democracy."
812,"A collection of traditional Mediterranean recipes features bread, pasta, eggplant, fish, lamb, spices, and wine"
813,"Combining an insider's passion with down-to-earth humor, chef and food writer Patric Kuh traces the evolution of American high-style restaurants from the 1941 opening of Le Pavillon to the recent rise of less traditional restaurants, such as Le Cirque, Spago, and Danny Meyer's Union Square group. Kuh takes readers inside this high-stakes business, sharing little-known anecdotes, describing legendary cooks and bright new star chefs, and relating his own reminiscences. Populated by a host of food personalities, including Julia Child, M.F.K. Fisher, and James Beard, Kuh's social and cultural history of America's great restaurants reveals the dramatic transformations in U.S. cuisine.  ""If you believe we are what we eat, this is the book that tells you who we are."" (The San Diego Union-Tribune) ßAUTHORBIO: Patric Kuh is a Paris-trained chef who has worked in preeminent restaurants in France, New York, and California. He has written a novel, as well as numerous articles for Gourmet, Esquire, Salon.com, and Los Angeles magazine."
814,"Seeking a fresh start? Feel better fast with this total body-cleansing experience and jump-start your life in just three days!""I know what she has done for me and I can only imagine what her book will do for everyone else.""-- Donna Karan""Pamela Serure is an extraordinary woman of vision and insight. I have the greatest respect for her. She is a woman of rare gifts.""-- Danielle Steel""I got juiced with Pamela and felt great the next day, and the day after that, and the day after that....""-- Christie Brinkley""This much-needed book is invaluable to enhancing one's journey to optimal health.""-- Richard N. Ash, M.D.""Pamela Serure is definitely clicking. On-trend for the new millenium.""-- Faith Popcorn, author of Clicking  and The Popcorn Report"
815,"The SLOB Sisters return with a foolproof guide to organizing one's home and personal life, in a practical and simple program that helps dejunk the home, reorganize schedules, and streamline and update everyday life. Original. $50,000 first printing."
816,More information to be announced soon on this forthcoming title from Penguin USA.
817,"Alternates between two stories--contemporarily, seventeen-year-old Jacob visits a daunting Amsterdam at the request of his English grandmother--and historically, nineteen-year-old Geertrui relates her experience of British soldiers's attempts to liberate Holland from its German occupation.Alternates between two stories--comtemporarily, seventeen-year-old Jacob visits Amsterdam at the request of his English grandmother--and historically, nineteen-year-old Geertrui relates her experience of British soldiers's attempts to liberate Holland from its German occupation."
818,"Her memoirs conjure up the perfection and the ugliness of life behind rice-paper screens, where young girls learn the arts of geisha - dancing and singing, how to wind the kimono, how to walk and pour tea, and how to beguile the land's most powerful men."
819,"In this groundbreaking book, Michele Weiner-Davis gives straightforward, effective advice on preventing divorce and how couples can stay together instead of coming apart.Using case histories to illustrate her marriage-enriching, divorce-preventing techniques, which can be used even if only one partner participates, Weiner-Davis shows readers: * How to leave the past behind and set attainable goals * Strategies for identifying problem-solving behavior that works—and how to make changes last * ""Uncommon-sense"" methods for breaking unproductive patterns Inspirational and accessible, Divorce Busting shows readers in pain that working it out is better than getting out."
820,"Recreates Monet's life and artistic development during his years in the village of Giverny, reproducing eightyone of the finest paintings completed there"
821,"'If you find new meaning, enhanced fullness of life, and deeper happiness as a result of reading this book, my purpose in writing it shall be fulfilled. I hope that you may get all this and more out of it. With the power of positive living, I wish you the best in life'. Norman Vincent Peale in the Preface. THIS BOOK WILL HELP YOU GAIN THE SELF-BELIEF TO TURN YOUR LIFE AROUND Norman Vincent Peale's international bestseller, The Power of Positive Thinking, inspired millions to think positive in order to develop a positive in order to develop a positive attitude to life. The Power of Positive Thinking takes us one step further - to discover the power of self-belief and its importance in living positively. Drawn from his extensive counselling experience, Dr Peale's book explaines the concrete steps that can be taken to develop self-confidence. His gentle guidance will help you to eliminate defeatist attitudes, to know that power you possess and to make the best of your life."
822,"A pretty little book for the ambitious gardener, with 150 color plates and many drawings. Annotation copyright Book News, Inc. Portland, Or."
823,"Since Farallon opened in San Francisco's theater district in 1997, patrons of this critically acclaimed restaurant from across the country have given its innovative ""coastal cuisine"" rave reviews. Now, executive chef and co-owner Mark Franz has compiled the recipes that have taken the culinary world by storm. The Farallon Cookbook will take serious home cooks on an undersea voyage, indulging in such ocean delights as Peeky-Toe Crab with Truffled Mashed Potatoes or Rosemary Seared Prawns with Saffron Risotto. Seafood is not Mark's only specialty. He's also famous for his succulent Braised Veal with Lobster Tails and savory Roasted Quail Stuffed with Armagnac Laced Prunes. This handsome volume--as stunning as the restaurant itself--is packed with tips from the chef, techniques to simplify the recipes, and an irresistible selection of desserts from Farallon's celebrated pastry chef Emily Luchetti."
824,"Weve all heard about the aches and pains of pregnancy, but what about the luscious hair, radiant skin, and sexy (yes, sexy!) body of the proud mother-to-be? Best-selling author Karen Salmansohn celebrates the sweeter side of pregnancy in Hot Mama and inspires women to look great, feel fabulous, have fun, and show it off! Chapters on healthful eating, bodacious beauty, mental and physical health, and sassy style teach mamas-to-be how to nurture both the baby and hot mama within. With 65 playful illustrations and a section devoted to recapturing your hot-mama-hood after the big day, this is the shower gift that will get read aloud and cheered."
825,"We could all use some advice now and then. When the self-help books just aren't helping, it's time to call in the experts: real people. San Francisco Chronicle columnist Adair Lara polled her readers for life lessons learned through experience, receiving thousands of heartfelt and irreverent responses. The best are compiled here in over 200 bits of priceless counsel. With witty illustrations by Roxanna Bikadoroff, this handy little volume is filled with humor, unconventional insights, and the kind of common wisdom that will always bear repeating."
826,"Small Craft Advisory is an enchanting book about Louis Rubin’s obsession with boats and his years of often hilarious boating adventures.When Louis Rubin was thirteen, he built a leaky little boat and paddled it out to the edge of the ship channel in Charleston, South Carolina, where he felt the inexorable pull of the water. Fifty years and dozens of boats later?sailboats, powerboats, inboards and outboards?the pull is as strong as ever.In the tradition established by Mark Twain, Joseph Conrad, and Herman Melville, distinguished author and scholar Louis Rubin explores man’s longtime passion for boats. He examines the compulsion that has prompted him and hundreds of thousands of other non-nautical persons to spend so much time, and no small portion of their incomes, on watercraft that they can use only infrequently.As his new boat (a cabin cruiser made of wood on a workboat hull) is being built, Rubin tells of his past boats and numerous boating disasters and draws a poignant comparison between his two passions: watercraft and the craft of writing.Anyone who has ever bought and owned a boat?or wondered why people are obsessed by them?will love this amusing, evocative, beautifully crafted memoir by an inveterate boat-owner."
827,"It is 1837 when Hong ascends to Heaven. While there, he is charged by God, his Heavenly Father - attired in black dragon robe and high-brimmed hat, his mouth almost hidden by his luxuriant golden beard - to slay the demon devils who are leading the people on earth astray. Their leader is Yan Luo, king of hell, the Dragon Demon of the Eastern Sea. Hong does battle in Heaven, armed by his father with sword and seal, aided by his elder brother, Jesus. Returned to his home village in south China, he resolves to carry on the struggle against the evil polluting humanity. He knows himself to be the younger brother of Jesus Christ, God's Chinese son.The Taiping uprising, led by Hong Xiuquan, was a massive millennial movement that, in its violent rise and fall between 1845 and 1864, cost at least twenty million Chinese their lives. In the course of this struggle the Taiping succeeded in overturning the authority of the ruling Qing dynasty throughout a massive territory in southern China. This the Taiping ruled as their Heavenly Kingdom from their seat in Nanjing for eleven years, until they were overcome in an apocalypse wrought by Qing and Western forces, the Book of Revelation become history.In this master work of the historian's art, Jonathan Spence creates a history of intimate detail and grand scale. We enter the fevered dream world of Hong Xiuquan as he meets his Heavenly family; we see the torments awaiting earthly sinners in King Yan Luo's hell; we feel the anxieties of Westerners living circumscribed lives on the edges of a China they do not understand. This is a China of vast instability, ruled by a dynasty in decline, beset by pirates and bandits in areas beyond the government's reach, pressed by Western traders to embrace opium, Western missionaries the word of God, and arms dealers the new weapons of the industrial revolution. Hong's movement ignites this volatile situation, and Spence captures the result on a breathtaking canvas of clashing armies, daring strategic thrusts, and protracted, deadly sieges. It is a story of historical power with striking resonances today."
828,"Anne McCaffrey and Margaret Ball, two great names in the genre, join forces to create the first in a stunning and magical series about Acorna, The Unicorn Princess.Science fiction and fantasy&#39;s most beloved female author turns her unparalleled talents to a brilliant new series written in collaboration with rising star Margaret Ball. The future of an entire species rests on the delicate shoulders of a tiny baby who was set adrift in a lifepod to save her from the vicious hands of Khlevii warriors. Her rescuers, three bachelor  asteroid miners, marvel at the unusual child&#39;s astonishing growth rate and superior intelligence, naming her Acorna for her other-worldly silvery mane of hair and horn-like bump in the middle of her forehead.Enchanting though she is, young Acorna&#39;s unusual talents capture the attention of some unsavory intergalactic inhabitants  who are determined to twist her powers for their own gain. But as Acorna gains control over her powers she matures into a worthy contender in the interspatial adventures  that pursue her in her desperate search for her People and their world."
829,"Complemented by charming black-and-white pencil drawings, a selection of poetry celebrates the unique bond between human and feline in verse by Langston Hughes, Emily Dickinson, Lawrence Ferlinghetti, Ogden Nash, John Keats, May Sarton, Pablo Neruda, and other distinguished poets. 25,000 first printing."
830,"A nostalgic look at the daily lives of Americans at the time of the nation's Centennial, distilling facts and details from letters, newspapers, magazines, and other contemporary sources"
